Time ,Team,Player,Action,Score,Margin
19:45,Bowie State,Jackson,Turnover,Zero-Zero,None
19:43,Maryland,Sulaimon,Steal,Zero-Zero,None
19:41,Maryland,Sulaimon,Miss. Layup,Zero-Zero,None
19:41,Maryland,Layman,(Off) Rebound,Zero-Zero,None
19:40,Bowie State,Beck,Foul,Zero-Zero,None
19:20,Maryland,Layman,Miss. 3-pt,Zero-Zero,None
19:20,Maryland,Carter,(Off) Rebound,Zero-Zero,None
19:16,Maryland,Sulaimon,Miss. 3-pt,Zero-Zero,None
19:16,Bowie State,Jackson,(Def) Rebound,Zero-Zero,None
19:02,Maryland,(Team),(Def) Rebound,Zero-Zero,None
19:02,Bowie State,"Jackson, A",Miss. 3-pt,Zero-Zero,None
18:43,Maryland,Carter,Turnover,Zero-Zero,None
18:29,Maryland,Trimble,(Def) Rebound,Zero-Zero,None
18:29,Bowie State,Beck,Miss. Jumper,Zero-Zero,None
18:22,Maryland,Trimble,Turnover,Zero-Zero,None
18:16,Maryland,Trimble,(Def) Rebound,Zero-Zero,None
18:16,Bowie State,Jackson,Miss. 3-pt,Zero-Zero,None
18:06,Bowie State,Ebinum,Foul,Zero-Zero,None
17:56,Maryland,Stone,Layup,Two-Zero,H 2
17:33,Maryland,Carter,(Def) Rebound,Two-Zero,H 2
17:33,Bowie State,Wells,Miss. Jumper,Four-Zero,H 4
17:25,Maryland,Stone,Layup,Four-Zero,H 4
17:25,Maryland,Layman,Assist,Four-Zero,H 4
17:10,Bowie State,Beck,Miss. Layup,Four-Zero,H 4
17:10,Bowie State,Jackson,(Off) Rebound,Four-Zero,H 4
17:06,Bowie State,Jackson,Tip In,Four-Two,H 2
16:49,Bowie State,Wells,Foul,Four-Two,H 2
16:39,Maryland,Layman,Layup,Six-Two,H 4 
16:39,Maryland,Carter,Assist,Six-Two,H 4
16:24,Bowie State,"Jackson, A",Miss. Jumper,Six-Two,H 4
16:24,Bowie State,Beck,(Off) Rebound,Six-Two,H 4 
16:15,Maryland,Trimble,Foul,Six-Two,H 4
16:15,Bowie State,Ebinum,Miss. FT Shot,Six-Two,H 4
16:15,Bowie State,(Deadball),(Off) Rebound,Six-Two,H 4
16:15,Bowie State,Ebinum,FT Shot,Six-Three,H 3
16:15,Maryland,Nickens,Sub In,Six-Three,H 3
16:15,Bowie State,Livingston,Sub In,Six-Three,H 3
16:15,Maryland,Trimble,Sub Out,Six-Three,H 3
16:15,Bowie State,Briscoe,Sub In,Six-Three,H 3
16:15,Bowie State,Jackson,Sub Out,Six-Three,H 3 
15:50,Bowie State,Ebinum,Foul,Six-Three,H 3
15:50,Maryland,N/A,Time-Out Media,Six-Three,H 3
